well,condition,tile,fov_token,n_p,totalVolume,n_p_totalVolume,totalArea,number_of_boundary_edges,fraction_of_boundary_edges_n_p,Mean_dgree,Std_dgree,Skewness_dgree,Kurtosis_dgree,q_25_dgree,q_50_dgree,q_75_dgree,Mean_dsc,Std_dsc,Skewness_dsc,Kurtosis_dsc,q_25_dsc,q_50_dsc,q_75_dsc,Mean_edg,Std_edg,Skewness_edg,Kurtosis_edg,q_25_edg,q_50_edg,q_75_edg,Mean_vlms,Std_vlms,Skewness_vlms,Kurtosis_vlms,q_25_vlms,q_50_vlms,q_75_vlms,Mean_fct,Std_fct,Skewness_fct,Kurtosis_fct,q_25_fct,q_50_fct,q_75_fct
B5,DMSO,0,B5_tile_0_fused_tp_0,167,4881905.0612,3.4208e-05,173717.4833,39,0.23353,13.4012,3.3529,0.86087,5.3651,11,13,15,126.3995,35.6873,-0.094041,2.6057,101.3019,128.5417,150.8603,49.9125,43.2981,3.1038,16.6015,25.0857,36.8864,56.9998,5329.5907,14256.0617,9.1048,122.0599,793.2108,1666.0633,4028.8717,2347.5336,3408.3341,2.5404,9.8008,230.5148,1203.9567,2471.9909
B5,DMSO,1,B5_tile_1_fused_tp_0,104,400001.9986,0.00026,30230.8281,29,0.27885,12.8269,2.3252,0.38777,3.4655,11,13,14,36.6519,13.3081,1.0891,5.9076,27.3315,37.0892,42.9061,25.1496,13.8514,2.6908,12.0231,17.2537,21.8167,26.8149,744.8827,738.6135,4.6601,36.0202,348.2283,598.8617,882.0451,559.8301,431.9006,1.4558,4.9104,260.9257,400.0545,752.0739
B5,DMSO,2,B5_tile_2_fused_tp_0,184,4837878.6893,3.8033e-05,160582.1001,25,0.13587,13.8696,3.0379,0.14214,2.6624,12,14,16,67.8282,39.0899,0.9513,2.9669,39.0498,51.7177,92.1316,43.4231,40.3829,2.4195,8.9507,21.1962,27.9662,46.4639,4521.382,13944.8131,12.0524,214.8813,648.3502,1132.095,3046.0567,3490.9152,4478.8096,2.1842,8.704,672.1713,1337.0003,6280.0139
B5,DMSO,3,B5_tile_3_fused_tp_0,111,531876.1367,0.0002087,36968.977,33,0.2973,12.991,2.4327,0.45581,3.2166,12,12,14.75,46.2712,18.7978,0.42024,2.6531,33.4471,44.6345,56.9211,28.9441,18.9739,2.6445,11.2426,18.4843,23.1279,30.4705,917.0278,796.0915,2.9993,16.3887,440.3561,739.4014,1102.1121,596.2738,501.4501,1.9014,7.9929,220.9,465.0428,821.5893
B5,DMSO,4,B5_tile_4_fused_tp_0,19,65318.8522,0.00029088,10725.8577,16,0.84211,8.2105,2.1494,0.030476,2.2348,6.25,8,9.75,39.0989,14.6824,0.23367,1.9597,25.6292,35.4815,50.0248,33.4188,15.8338,1.3066,4.2992,22.1031,27.3946,40.9562,1419.975,1023.116,1.0601,3.2151,707.5543,1155.4948,1909.3603,383.0663,237.7847,0.57312,2.0589,194.3232,311.8712,561.4644
B5,DMSO,5,B5_tile_5_fused_tp_0,87,425116.2315,0.00020465,31092.2393,36,0.41379,12.5287,2.5692,0.46941,2.5899,10,12,14,41.5065,14.1287,1.2115,6.9658,32.9952,40.4769,47.276,28.0454,13.1562,2.7268,14.1529,20.575,25.695,31.1024,1000.2735,701.8394,2.2337,11.553,557.7977,840.0102,1222.9575,457.2388,367.1825,1.7126,5.3921,213.2504,330.1547,561.5878
B5,DMSO,6,B5_tile_6_fused_tp_0,257,6059641.4922,4.2412e-05,196561.2434,35,0.13619,13.9767,3.924,1.2954,6.3737,11,13,16,86.5058,45.952,0.71581,2.6528,50.3986,73.484,121.3914,44.0196,39.0305,3.1172,15.0652,23.2047,31.2122,49.9851,4020.9963,9669.0845,8.5919,118.4001,752.3113,1446.352,3065.0057,2978.2007,3896.1719,2.4092,9.294,590.0405,1505.8067,3697.5322
B5,DMSO,7,B5_tile_7_fused_tp_0,38,118327.6317,0.00032114,12974.9518,26,0.68421,9.9474,2.2172,1.0472,4.1792,8,10,11,29.8076,8.0033,0.81198,6.3215,24.9675,31.4542,33.9843,25.0382,8.1451,1.5873,7.15,19.0544,23.9638,28.3603,924.4346,500.6381,0.69746,4.1972,605.8018,884.922,1175.8615,270.3115,135.3936,1.2132,4.4844,167.7141,250.2147,326.2841
B5,DMSO,8,B5_tile_8_fused_tp_0,85,1242741.4471,6.8397e-05,70843.1466,20,0.23529,12.8235,2.6689,0.36424,3.307,11,13,15,58.3171,34.4326,0.97443,3.0733,33.8531,51.2367,79.4803,42.491,36.5133,2.0676,7.0435,20.4606,27.3313,49.4286,2805.2854,5151.1283,4.8477,34.5075,594.553,1002.8709,2668.8078,1967.8652,2468.785,2.0758,7.0881,339.5803,1102.1488,2580.9358
B5,DMSO,9,B5_tile_9_fused_tp_0,58,200017.1056,0.00028998,18766.2803,26,0.44828,11.7586,2.3717,0.64071,2.6981,10,11,13,32.1706,11.4904,0.98929,6.5979,27.0916,32.539,37.3212,26.3008,13.9963,2.8227,13.9674,18.3002,23.4068,28.9616,769.2966,592.1748,2.9977,19.8578,422.0266,664.9405,978.8298,390.9642,325.1451,1.9288,7.0703,188.6489,273.7913,475.4882
