well,condition,tile,fov_token,n_p,totalVolume,n_p_totalVolume,totalArea,number_of_boundary_edges,fraction_of_boundary_edges_n_p,Mean_dgree,Std_dgree,Skewness_dgree,Kurtosis_dgree,q_25_dgree,q_50_dgree,q_75_dgree,Mean_dsc,Std_dsc,Skewness_dsc,Kurtosis_dsc,q_25_dsc,q_50_dsc,q_75_dsc,Mean_edg,Std_edg,Skewness_edg,Kurtosis_edg,q_25_edg,q_50_edg,q_75_edg,Mean_vlms,Std_vlms,Skewness_vlms,Kurtosis_vlms,q_25_vlms,q_50_vlms,q_75_vlms,Mean_fct,Std_fct,Skewness_fct,Kurtosis_fct,q_25_fct,q_50_fct,q_75_fct
B5,DMSO,0,B5_tile_0_fused_tp_0,80,1364763.5231,5.8618e-05,72491.3037,31,0.3875,12.025,2.5998,0.18555,2.7382,10,12,14,76.4566,26.1783,0.021695,2.9219,60.4109,75.3324,94.7829,43.8188,36.6986,2.0849,6.7789,22.5955,29.9267,43.5552,3658.8834,5855.095,3.5194,18.8239,827.758,1423.8537,3366.0051,1249.8501,1920.7339,3.8473,20.4298,280.0172,514.224,1601.1618
B5,DMSO,1,B5_tile_1_fused_tp_0,44,142529.9774,0.00030871,14173.3531,30,0.68182,10.3182,2.4473,1.1471,4.322,8.5,10,12,31.5028,8.1552,-0.87364,3.6744,26.7998,34.0234,37.0831,24.527,6.8492,1.1656,6.5353,19.7215,23.7744,27.8979,913.6537,450.8563,0.062085,2.5186,557.5416,966.2931,1192.0161,253.0956,130.4827,1.2137,4.6451,163.7756,223.3288,315.0514
B5,DMSO,2,B5_tile_2_fused_tp_0,18,23677.5346,0.00076021,4435.4038,15,0.83333,8.3333,1.6088,0.57177,2.9008,7,8,9,19.0792,5.4753,-1.1205,3.0164,17.5963,20.5843,23.1816,20.5424,4.936,0.046487,2.4539,16.9065,20.858,24.3583,526.1674,167.5161,0.68321,3.1871,417.8135,500.4293,624.8719,170.5925,49.5098,0.60668,4.1255,139.9134,163.5138,196.2326
B5,DMSO,3,B5_tile_3_fused_tp_0,31,56629.3887,0.00054742,7704.7861,26,0.83871,9.3548,2.4021,1.1866,3.8042,8,9,10,24.1072,6.308,-1.4341,4.3183,24.0472,26.0936,27.3798,21.4282,5.6511,0.72865,4.0673,17.2758,21.2744,24.2295,622.301,326.375,0.61544,3.8856,427.6029,614.3672,805.1064,160.5164,74.6495,2.3275,9.8337,117.2547,143.5638,172.544
B5,DMSO,4,B5_tile_4_fused_tp_0,27,68059.2996,0.00039671,8759.5508,20,0.74074,9.2593,2.0679,0.54981,2.5934,8,9,10.75,25.5812,5.9311,-0.78078,2.2497,21.9002,27.5695,29.9761,23.8211,5.886,0.81446,3.736,19.2549,23.4953,26.7962,840.2383,392.403,0.46214,3.688,554.8937,860.579,1074.495,243.3209,83.4268,0.83829,3.2947,185.3841,221.9798,278.3095
B5,DMSO,5,B5_tile_5_fused_tp_0,40,112236.8361,0.00035639,11888.2457,28,0.7,10.15,2.4237,0.8951,2.9269,9,9,11.5,28.9466,6.4121,-0.97372,2.7478,23.7683,30.9697,33.6842,23.5683,5.9066,0.75115,3.1877,19.1039,22.8584,27.1615,813.3104,430.2349,0.16393,2.8993,583.392,786.2122,1066.5339,228.6201,97.4369,1.596,6.7957,170.1632,204.9366,266.9545
B5,DMSO,6,B5_tile_6_fused_tp_0,9,8350.4796,0.0010778,2409.5269,9,1,5.7778,0.83333,0.41295,1.7304,5,6,6.25,17.2843,2.063,0.0084446,1.4544,15.3354,17.0247,19.1812,22.688,5.6121,0.1343,1.8835,17.3902,24.0632,26.5841,759.1345,521.3986,0.66691,2.4674,281.5434,681.3906,1105.7664,172.1091,46.1306,0.23834,2.2417,144.0073,164.8706,201.5899
B5,DMSO,7,B5_tile_7_fused_tp_0,24,62401.3449,0.00038461,9406.2344,18,0.75,8.5833,1.9982,-0.242,2.4223,7,9,10,34.8771,9.5344,-0.32075,2.2646,29.3855,34.7185,43.0495,27.5993,15.7409,1.5223,4.2941,17.7316,22.0925,30.5214,975.021,663.5662,1.0222,3.4366,507.7406,734.4278,1388.7729,293.9448,222.4368,0.95925,2.6224,124.3278,184.5328,446.2222
B5,DMSO,8,B5_tile_8_fused_tp_0,40,85499.5396,0.00046784,9948.4617,27,0.675,10.05,2.4174,0.81217,3.5706,9,9.5,11.5,25.9891,6.9637,-1.1554,3.6044,22.7157,28.1743,31.3669,21.5755,5.8432,0.71793,3.2563,17.184,20.6794,24.808,624.0842,280.9956,0.26918,3.7092,456.2413,622.2259,799.3664,198.9692,91.7419,1.0314,4.0644,136.2404,183.1313,258.997
B5,DMSO,9,B5_tile_9_fused_tp_0,12,18046.8842,0.00066493,4012.865,10,0.83333,7.5,1.1677,0.71554,2.92,7,7,8,20.3701,5.132,-0.036813,1.9186,16.5279,19.657,24.1603,25.3268,9.0131,-0.061079,2.1342,17.9308,27.3839,31.9137,694.1109,472.5275,0.63421,2.8157,332.2096,593.2861,963.4009,250.8041,143.3764,0.53747,1.9263,145.3995,201.6458,364.8537
B6,DMSO,0,B6_tile_0_fused_tp_0,82,252507.8951,0.00032474,19928.2368,44,0.53659,11.4146,2.744,0.37605,2.4731,9,11,13,34.5477,8.985,-0.86371,2.7673,27.1307,39.1185,41.2786,22.1869,5.5425,0.39319,3.3382,18.2789,21.6195,25.4838,731.9069,381.1404,0.44038,3.398,470.1277,712.5589,966.696,237.2409,80.4636,0.97139,3.7595,186.4372,222.8517,272.0772
B6,DMSO,1,B6_tile_1_fused_tp_0,22,28737.3931,0.00076555,5370.6002,15,0.68182,9.5455,2.3243,1.5711,5.8733,8,9,10,20.5414,6.6693,-0.83623,2.9377,17.8595,22.0913,24.5769,21.6695,8.2206,0.71246,3.2355,15.9517,19.7301,26.8519,404.752,319.9288,0.92572,3.2907,148.6623,338.5212,574.8108,206.5615,143.8097,1.012,3.6043,94.4833,159.3726,304.8552
B6,DMSO,2,B6_tile_2_fused_tp_0,36,127288.8444,0.00028282,12931.5588,27,0.75,9.6111,2.3577,1.5767,5.014,8,9,10.5,30.5175,6.9367,-1.0744,2.8673,29.0748,32.5595,35.5737,25.2276,5.7313,0.53063,2.6558,20.9686,24.2653,29.498,1126.45,459.569,-0.18782,3.1382,857.3572,1124.7518,1466.5598,258.6312,100.641,0.50661,2.6306,188.8608,247.1283,317.2531
B6,DMSO,3,B6_tile_3_fused_tp_0,75,383001.5361,0.00019582,28513.4644,40,0.53333,11.76,2.6037,0.87109,3.487,10,12,13,40.045,13.6462,1.3986,8.4419,32.1877,40.4573,45.8433,29.9407,17.4328,2.8008,11.8714,20.6007,25.5025,31.9991,1164.1384,901.062,3.4071,26.6081,659.966,986.5664,1532.5187,375.1772,331.4908,2.5569,10.0442,200.574,280.1255,391.1782
B6,DMSO,4,B6_tile_4_fused_tp_0,24,46256.8439,0.00051884,6700.5751,19,0.79167,8.9167,1.9982,0.58436,2.5361,7.5,8.5,10,22.2073,6.4223,-1.2988,3.9879,20.3257,24.2721,26.0667,21.8137,5.4808,0.29093,2.8709,18.4007,21.2229,25.596,690.4007,341.6391,0.68414,4.9037,463.9358,695.8386,894.4369,197.0757,76.092,1.2343,4.3706,143.0463,185.5147,228.9167
B6,DMSO,5,B6_tile_5_fused_tp_0,43,115101.31,0.00037358,12011.5911,32,0.74419,10.186,2.7365,1.3898,5.449,9,9,11,29.1775,6.9124,-1.4279,4.1317,27.5784,31.465,33.4342,23.0508,5.6648,0.65021,3.6115,18.9953,22.1956,26.2456,783.0021,385.8672,0.13527,2.7271,494.1211,816.8087,1059.2591,200.1932,102.0152,1.2633,4.4891,141.2664,176.4727,216.6448
B6,DMSO,6,B6_tile_6_fused_tp_0,30,66790.2919,0.00044917,8503.5648,24,0.8,9.6667,2.3973,1.4861,5.401,8,9,10,25.3452,6.0787,-1.3503,4.2638,23.7162,27.0403,28.6555,22.8617,5.5652,0.35819,2.7824,18.7534,22.2597,26.8808,710.535,418.2437,0.53788,3.1708,376.6167,777.0097,915.8199,193.2628,63.2784,0.88717,4.1805,152.8186,182.8261,222.8553
B6,DMSO,7,B6_tile_7_fused_tp_0,51,133180.5027,0.00038294,13247.4646,32,0.62745,10.5098,2.7157,1.2236,4.2419,9,10,11.75,30.1625,6.6998,-0.66306,2.7839,25.5794,32.1809,34.055,22.378,5.9379,0.48982,3.0039,17.8597,21.6963,26.674,708.4069,405.8003,0.97301,5.1993,430.3696,690.2514,915.5607,220.7911,86.3607,1.0839,4.3637,163.9459,215.7915,257.2515
B6,DMSO,8,B6_tile_8_fused_tp_0,27,49704.7165,0.00054321,7119.7872,19,0.7037,9.7778,1.9677,0.99501,3.5277,9,9,10.75,22.9836,5.9588,-0.64947,3.5288,19.5171,24.2767,26.5298,22.285,6.5404,1.2997,5.2141,17.8924,20.9688,25.1467,558.48,280.6274,-0.030187,2.134,333.0049,601.2427,762.1945,209.4055,109.9148,1.6506,6.6705,147.0027,195.4236,235.3671
B6,DMSO,9,B6_tile_9_fused_tp_0,49,904068.1915,5.4199e-05,66165.9026,10,0.20408,12.3673,2.8262,0.38704,2.4912,10,12,14.25,61.8889,37.4047,0.58968,2.1508,30.8678,47.7298,93.421,57.6518,46.3054,1.6882,5.726,25.2337,37.5838,80.2546,3660.1951,6089.5391,4.7218,31.3698,1071.3426,1839.3585,3478.7073,4135.3689,5301.8732,2.7428,10.1884,1153.5047,2573.5745,4837.1114
B7,DMSO,0,B7_tile_0_fused_tp_0,57,259591.9842,0.00021958,20643.3095,37,0.64912,10.8421,2.6172,0.85515,3.064,9,10,13,37.0582,9.0713,-1.2317,4.1739,31.9444,40.5977,43.1026,26.9123,7.1993,0.80493,4.0003,21.4734,26.182,31.6195,1190.7889,593.5539,0.47153,3.5926,779.1963,1162.8613,1539.0441,294.9044,124.5812,1.0681,4.2448,214.4002,278.1111,357.9486
B7,DMSO,1,B7_tile_1_fused_tp_0,39,71861.6393,0.00054271,8903.6888,28,0.71795,9.8974,2.4687,1.4695,5.5101,8,10,11,25.5337,5.6272,-1.2859,4.1771,22.9525,27.567,29.3274,20.8331,5.6129,0.45023,2.9738,16.8995,20.2352,24.3115,557.067,333.5988,0.61728,3.1574,318.9125,543.9272,756.028,171.2248,71.3521,2.0091,7.5482,128.6096,149.7588,182.0742
B7,DMSO,2,B7_tile_2_fused_tp_0,35,109734.6308,0.00031895,11763.8535,27,0.77143,9.4286,2.4167,2.2135,7.4581,8,9,9,29.673,6.4258,-1.3812,3.973,26.8445,31.9551,33.9078,24.7363,6.0119,0.64118,3.1008,20.3861,23.2619,28.0377,1035.2324,516.2781,-0.17856,2.7312,740.9463,1090.2577,1336.8051,235.2771,84.8044,0.5262,2.6681,176.248,216.3566,286.4747
B7,DMSO,3,B7_tile_3_fused_tp_0,46,172082.1662,0.00026731,16336.6895,25,0.54348,10.7391,2.0378,0.74092,2.8726,9,10,12,31.8707,9.3529,0.42552,6.0615,27.5049,32.9568,37.2705,26.3379,10.2979,2.4805,11.2969,19.8028,23.9048,28.6962,961.3529,446.3488,0.40827,3.7224,639.3897,976.4089,1208.0094,355.1454,179.6316,1.3167,4.8025,223.6104,307.3779,421.3227
B7,DMSO,4,B7_tile_4_fused_tp_0,39,188340.6192,0.00020707,17194.2318,26,0.66667,10.7692,2.4437,0.54547,2.2267,9,10,13,34.5098,9.7088,-0.94649,3.2385,29.9187,38.1724,40.5125,29.3114,9.0795,0.67982,3.473,22.9502,28.4401,34.1091,1272.5718,821.0036,0.67129,2.9372,609.3404,1186.9131,1766.1475,358.2132,234.0912,1.7669,6.5381,211.9856,293.6137,429.9024
B7,DMSO,5,B7_tile_5_fused_tp_0,42,107483.9216,0.00039076,11541.5831,30,0.71429,10.1905,2.5205,1.3086,5.246,9,10,11,28.4394,6.7036,-1.029,2.7178,26.6287,31.1282,33.4306,22.7298,6.2227,0.77394,4.063,18.2392,21.7541,27.0084,741.2684,388.9453,0.61784,3.3107,497.0969,692.334,946.8563,206.0997,84.3053,0.58179,2.7015,145.4904,190.5912,265.5208
B7,DMSO,6,B7_tile_6_fused_tp_0,31,71662.1027,0.00043259,8798.4599,24,0.77419,9.2903,2.355,1.2175,4.0128,8,9,10,25.3588,6.6404,-1.3108,3.2733,24.4851,28.3325,29.24,22.169,5.0456,0.14068,2.6296,18.2862,21.2765,26.4496,778.9359,319.9707,0.089852,3.8885,597.1576,776.4703,978.5811,199.965,67.9524,0.44071,3.857,157.8657,202.7689,234.9975
B7,DMSO,7,B7_tile_7_fused_tp_0,36,81791.7427,0.00044014,9647.3675,26,0.72222,9.8889,2.4585,0.92536,3.204,8,10,11,26.1355,6.7156,-1.277,3.7384,24.8521,28.6295,30.6786,22.2285,5.4143,0.16473,2.4036,17.5511,22.3901,26.686,687.3256,354.458,0.78561,5.1422,494.213,684.3276,853.6546,200.9868,79.9672,0.50705,2.9954,140.1717,200.4057,260.0076
B7,DMSO,8,B7_tile_8_fused_tp_0,79,459210.1354,0.00017203,32726.2044,29,0.36709,12,2.6165,0.57478,3.243,10,12,13,41.2911,14.6056,1.1203,6.211,32.2268,42.1946,46.4902,29.9829,15.6802,2.2884,9.0797,20.9015,26.1089,33.1512,1244.4719,932.8991,2.5496,14.2348,657.0863,1062.8834,1569.1219,606.0408,441.8459,1.2213,3.8994,263.8775,450.8716,890.6396
B7,DMSO,9,B7_tile_9_fused_tp_0,27,63325.1827,0.00042637,8149.3603,21,0.77778,9.1852,2.2708,2.3776,9.7168,8,9,9,25.2187,5.1925,-1.2794,4.0978,23.7763,26.8615,28.2902,23.0421,5.704,-0.13987,2.5972,18.9969,22.6994,27.5952,801.5846,481.6362,0.35808,2.8407,412.4342,831.9712,1146.6574,214.4569,78.0602,0.48531,2.9398,151.2246,216.5564,257.206
B8,DMSO,0,B8_tile_0_fused_tp_0,41,118336.6879,0.00034647,12346.2249,30,0.73171,10.2439,2.5572,0.81439,2.9231,8,10,11.25,28.8643,8.0579,-0.82709,2.421,25.4885,30.4933,34.9572,23.5743,6.7998,0.29283,3.4052,19.5038,23.1672,27.499,833.357,478.2056,0.63902,3.6049,461.3709,863.6264,1130.1119,220.4683,130.8221,0.75183,2.6388,123.7025,194.2334,300.3903
B8,DMSO,1,B8_tile_1_fused_tp_0,53,305276.1952,0.00017361,26599.4332,23,0.43396,11.5094,2.8259,0.6172,3.3925,9.75,11,14,36.982,18.4731,1.4997,6.1133,26.4698,35.1549,43.5097,31.8457,21.0309,2.1737,7.6923,20.1652,24.3574,32.4226,1315.8457,1284.5064,2.6922,11.7037,605.4762,909.9116,1447.5652,633.3198,707.4929,2.3055,8.4275,188.6412,358.3779,759.516
B8,DMSO,3,B8_tile_3_fused_tp_0,160,724575.5321,0.00022082,39984.2057,75,0.46875,12.5,2.7859,0.5979,2.9978,10.5,12,14,47.8975,11.9323,-0.887,2.9796,39.1762,50.9142,57.4428,24.7604,7.7895,0.43351,3.7427,19.467,24.3739,29.6208,943.4577,637.6313,1.1935,5.1233,471.3371,840.2652,1261.5512,273.8644,158.9166,2.0794,10.4282,173.1537,235.9735,322.4858
B8,DMSO,4,B8_tile_4_fused_tp_0,44,113998.8664,0.00038597,12846.7303,25,0.56818,11.0455,2.5054,0.19924,2.886,9,11,13,29.3822,8.6875,-0.54316,2.7245,24.3776,29.9548,35.2961,24.3647,10.643,2.0383,8.5394,17.9412,22.3422,26.6454,644.0614,400.5805,1.2447,6.0328,357.2375,576.3866,870.2876,279.2767,193.3885,1.9783,6.9825,154.4229,228.4522,312.5431
B8,DMSO,5,B8_tile_5_fused_tp_0,46,108671.7362,0.00042329,12176.4885,29,0.63043,10.8261,2.3786,0.97008,3.5863,9,10,12,28.4638,8.1495,0.29224,5.6386,26.0364,30.192,33.1868,23.5531,9.9934,2.2465,9.6438,17.7307,21.2572,26.1995,613.9646,378.6144,1.2121,6.5778,339.8542,587.8652,792.3831,225.4905,165.2205,2.319,9.5243,125.423,173.1636,281.3923
