well,condition,tile,fov_token,n_p,totalVolume,n_p_totalVolume,totalArea,number_of_boundary_edges,fraction_of_boundary_edges_n_p,Mean_dgree,Std_dgree,Skewness_dgree,Kurtosis_dgree,q_25_dgree,q_50_dgree,q_75_dgree,Mean_dsc,Std_dsc,Skewness_dsc,Kurtosis_dsc,q_25_dsc,q_50_dsc,q_75_dsc,Mean_edg,Std_edg,Skewness_edg,Kurtosis_edg,q_25_edg,q_50_edg,q_75_edg,Mean_vlms,Std_vlms,Skewness_vlms,Kurtosis_vlms,q_25_vlms,q_50_vlms,q_75_vlms,Mean_fct,Std_fct,Skewness_fct,Kurtosis_fct,q_25_fct,q_50_fct,q_75_fct
B5,DMSO,0,B5_tile_0_fused_tp_0,86,200488.2999,0.00042895,42399.7213,27,0.31395,12.2791,3.3699,0.65119,3.6077,10,12,14,62.3353,27.5057,0.25552,2.4132,42.8859,60.9361,82.1956,40.044,31.8606,1.8499,6.6424,18.8069,29.2597,48.5912,479.6371,804.6772,4.0231,23.9247,87.7884,198.8949,551.1263,847.9944,1039.2165,2.0119,7.7326,89.6591,457.6459,1120.6301
B5,DMSO,1,B5_tile_1_fused_tp_0,43,136311.1283,0.00031545,14341.6599,27,0.62791,10.6977,2.3958,0.67771,3.4837,9,10,12,32.3358,10.6897,-0.12015,2.4846,24.0332,31.5926,41.2998,26.3526,10.554,1.516,6.4095,19.2519,25.4812,30.6069,836.2646,648.7412,2.255,11.4685,414.1123,704.2531,1071.8663,286.8332,204.5039,2.6047,13.2812,168.2377,248.7907,383.9763
B5,DMSO,2,B5_tile_2_fused_tp_0,56,156352.6791,0.00035816,28087.8817,22,0.39286,11.7143,3.2903,0.56124,3.2989,9.5,11.5,13,59.5377,29.1124,0.25395,2.1454,36.6372,56.796,84.2814,39.9519,32.6608,2.0935,7.8948,18.7533,28.9152,50.219,617.9948,1331.5491,4.8148,30.2724,68.7821,217.194,548.2016,702.197,1192.6406,3.5293,15.1696,155.7328,410.7711,689.4342
B5,DMSO,3,B5_tile_3_fused_tp_0,35,81725.4604,0.00042826,9642.0055,26,0.74286,9.4286,2.7577,1.0555,3.7896,7,9,10.75,26.717,6.0113,-1.5153,4.7522,24.8455,28.8136,30.7964,22.3026,5.1758,0.093804,2.4578,18.0996,22.5705,26.0165,763.7893,378.8889,0.30279,2.788,499.2585,742.731,977.846,200.8751,66.5285,0.64984,3.0654,157.8366,190.6996,230.6704
B5,DMSO,4,B5_tile_4_fused_tp_0,12,20974.2113,0.00057213,4261.1293,12,1,6.8333,1.3371,0.78996,3.9084,6,7,7,21.0338,4.0646,-0.26851,1.9431,16.9714,22.7093,23.4834,25.1439,6.2597,0.71233,3.4089,20.5203,23.9524,30.0264,1048.7106,625.686,-0.014451,2.3902,581.0991,1116.6815,1396.9181,213.0565,91.3032,1.0003,4.4029,173.3595,191.5828,233.441
B5,DMSO,5,B5_tile_5_fused_tp_0,19,33296.337,0.00057063,5796.6735,16,0.84211,8.7368,1.9103,0.28824,2.8743,7,9,9.75,22.8237,6.2172,0.34186,3.7487,19.6316,23.541,26.7035,24.2297,7.8942,0.57273,2.5026,17.7677,22.3463,30.1509,652.8694,453.2881,1.0162,4.162,349.9624,551.4752,941.5928,207.0241,122.1865,1.8042,7.2391,126.079,166.0162,251.1719
B5,DMSO,6,B5_tile_6_fused_tp_0,24,130556.969,0.00018383,16060.9614,14,0.58333,9.3333,2.0359,-0.7801,2.7035,8,10,11,38.0786,16.8858,-0.2088,1.9597,25.2622,39.037,53.4864,36.8401,21.1225,1.1061,3.47,21.7659,30.6289,46.4042,1695.5451,1486.2595,1.5006,5.2188,607.8442,1174.8691,2509.1231,669.2067,622.9362,1.6702,5.2617,260.8123,461.4881,925.0635
B5,DMSO,7,B5_tile_7_fused_tp_0,36,98643.416,0.00036495,10956.4445,27,0.75,10,2.426,0.52356,2.6078,8,9,12,27.9606,6.9179,-1.0072,2.9742,25.3011,30.4251,32.6935,23.3929,5.689,0.22282,2.5897,18.7471,23.5554,27.2669,822.0285,386.8042,0.53776,3.2993,565.9531,774.2607,1024.7895,219.1289,91.9858,0.47719,2.9179,159.2303,206.1863,268.9456
B5,DMSO,8,B5_tile_8_fused_tp_0,48,163337.7314,0.00029387,15504.5106,30,0.625,10.7083,2.6252,1.0204,3.9362,9,10,12,32.7614,8.2947,-0.89991,3.4851,29.6458,34.169,38.8279,25.0612,7.2861,0.42329,3.1919,19.77,24.5435,30.0434,897.4601,615.5759,1.0003,3.9726,444.02,804.2148,1165.2556,276.8663,156.5928,0.97547,3.4305,166.7122,238.5217,379.145
B5,DMSO,9,B5_tile_9_fused_tp_0,40,140622.8179,0.00028445,13957.0448,25,0.625,10.65,1.8474,0.030767,2.2264,9,10,12,30.2216,8.3503,-0.72264,2.8038,24.7852,31.545,36.6683,25.9236,7.909,0.54534,3.0976,20.2947,24.4707,31.228,931.2769,498.06,0.90124,4.0171,602.3349,870.4164,1149.587,303.414,137.2318,0.62877,4.0626,181.7787,315.6563,402.8556
B6,DMSO,0,B6_tile_0_fused_tp_0,115,384176.2676,0.00029934,27617.854,48,0.41739,12.6435,2.425,0.19846,3.281,11,13,14,39.4595,13.3497,0.32732,3.471,30.2305,40.162,45.6904,23.9195,10.0882,2.34,10.8628,17.8539,21.8273,27.0439,677.5596,437.2414,2.2462,13.8848,415.2754,597.6485,853.8874,300.1941,182.5294,1.9451,9.0546,182.4445,261.5179,367.841
B6,DMSO,1,B6_tile_1_fused_tp_0,43,161252.2903,0.00026666,17443.817,29,0.67442,10.5116,2.8316,0.39197,2.5058,8.25,10,13,36.8041,13.833,0.75919,4.0987,28.9581,35.2653,42.0606,29.2689,15.4174,1.7155,6.6282,19.4789,25.448,34.0603,1027.0847,1116.3111,3.3601,19.7248,358.1099,685.3721,1277.6704,323.0336,329.2071,2.3803,9.3764,121.0735,195.2013,374.6164
B6,DMSO,2,B6_tile_2_fused_tp_0,27,57046.5834,0.0004733,7774.6023,20,0.74074,9.4074,2.1884,1.6416,5.3859,8,9,10,24.0629,6.7403,-1.447,4.2871,23.8548,25.6232,28.5142,22.7633,5.9626,-0.039126,2.3605,18.671,22.6668,26.9082,687.3082,414.1285,0.44255,2.3731,328.1339,653.5547,976.809,215.9612,90.6776,0.49905,2.6085,151.3315,207.1207,273.5739
B6,DMSO,3,B6_tile_3_fused_tp_0,63,193274.5308,0.00032596,18684.3912,33,0.52381,11.619,2.3584,-0.25085,2.725,10,12,13,34.4485,13.3024,1.2147,4.8366,26.6271,32.5984,38.5306,25.3885,13.5666,2.3961,9.8408,17.5395,21.8491,28.0321,707.9653,527.1685,2.3337,12.5657,391.3905,586.1503,904.7223,301.3611,240.6965,1.6158,5.0041,135.3766,211.1293,389.0508
B6,DMSO,4,B6_tile_4_fused_tp_0,28,403489.0495,6.9395e-05,33784.7526,13,0.46429,10.2143,2.025,0.22053,2.4209,9,10,11.5,52.2914,23.5643,0.75552,4.2195,37.275,50.474,62.5086,53.4403,36.5944,1.4022,4.3474,28.836,41.9028,69.6358,3842.7529,4362.8984,2.1889,7.8691,1107.9964,2217.3547,4518.5432,1535.6706,1416.9647,1.2276,3.6524,429.7617,1018.9055,2174.2863
B6,DMSO,5,B6_tile_5_fused_tp_0,11,18600.9711,0.00059137,4200.3234,9,0.81818,6.7273,1.1037,0.56087,2.9166,6,7,7,21.2925,6.9209,2.1091,6.7729,17.8241,19.7608,22.3851,27.0854,10.0777,1.1301,3.9829,20.011,25.1006,30.3082,930.0486,401.8713,0.064173,1.5663,537.039,895.8491,1275.4827,300.0231,133.9299,1.4212,4.8689,203.8369,277.4831,345.155
